loai_bds,tieu_de,gia,dien_tich,kich_thuoc,huong,so_tang,so_phong_ngu,so_wc,phap_ly,quan_huyen,dia_chi,nguon
Cần hộ chung cư,Căn 3 phòng ngủ Phú Tài 2 hướng trực diện biển,"3,6 tỷ",75 m²,,Nam,,3 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-hoang-van-thu-phuong-quang-trung-7-phu-tai-2-central-life/3-phong-ngu-2-huong-truc-dien-bien-pr44634931
Cần hộ chung cư,CHỈ 1 TỶ 290  SỞ HỮU NGAY CĂN HỘ STUDIO TMS QUY NHƠN VIEW BIỂN CỰC ĐẸP,"1,29 tỷ",45 m²,,,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-hue-phuong-tran-phu-4-tms-luxury-hotel-residences/chi-1-ty-290-so-huu-ngay-studio-quy-nhon-view-bien-cuc-ep-pr45805771
Đất nền dự án,"Giá cực sốc - Ra mắt đất tuyệt đẹp trung tâm thị trấn Bồng Sơn, tiện ích đầy đủ, công viên","1,84 tỷ",102 m²,,,,,,,TX. Hoài Nhơn,TX. Hoài Nhơn (P. Bồng Sơn mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quang-trung-thi-tran-bong-son-148/gia-cuc-soc-ra-mat-quy-tuyet-dep-tam-tien-ich-day-cong-vien-pr43023488
Đất nền dự án,"Khu đô thị mới Cẩm Văn là dự án bất động sản mới của tỉnh Bình Định, tọa lạc tại tỉnh Bình Định","2,6 tỷ",125 m²,,Đông,,,,,TX. An Nhơn,TX. An Nhơn (P. An Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-1a-phuong-nhon-hung-1-khu-do-thi-moi-cam-van/o-la-bat-ong-san-cua-tinh-binh-inh-toa-lac-tai-tinh-binh-inh-pr45637868
Shophouse,(Siêu phẩm nhà phố) Phú Gia Royal Park - 283 viên ngọc giữa lòng thành phố Quy Nhơn,Giá thỏa thuận,70 m²,,Nam,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-tay-son-phuong-quang-trung-7-phu-gia-royal-park/sieu-pham-283-vien-ngoc-giua-long-thanh-quy-nhon-pr44303233
Nhà biệt thự/liền kề,Solera Quy Nhơn biểu tượng sống đẳng cấp tại trung tâm thành phố,"5,3 tỷ","92,5 m²",,Bắc,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Bắc mới),https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-tran-quang-dieu-solera-quy-nhon/bieu-tuong-song-dang-cap-tai-trung-tam-thanh-pho-pr43767403
Cần hộ chung cư,"Bán căn hộ cao cấp Simona Heights Quy Nhơn căn 2PN. Giá 2,79 tỷ cho vay 70% ngân hàng MB, BIDV, OCB","2,99 tỷ",69 m²,,,,2 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-hung-dao-phuong-le-loi-5-simona-heights/ban-cao-cap-quy-nhon-sieu-re-2pn-gia-2-5-ty-ngan-hang-cho-vay-70-pr42025939
Cần hộ chung cư,Căn hộ Simona Heights view biển Quy Nhơn - sổ đỏ lâu dài - miễn phí 3 năm phí quản lý - CK đến 12%,"3,2 tỷ",88 m²,,,,,,Sổ đỏ,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-le-loi-5-simona-heights/tam-view-bien-quy-nhon-so-do-lau-dai-mien-phi-3-nam-phi-quan-ly-ck-den-12-pr44267461
Nhà biệt thự/liền kề,5 suất ngoại giao dự án Phú Gia Royal Park Quy Nhơn (Gia Lai mới). Liên hệ: 0903 601 ***,Giá thỏa thuận,85 m²,,Nam,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tay-son-phuong-quang-trung-7-phu-gia-royal-park/5-suat-ngoai-giao-du-an-quy-nhon-lai-moi-he-o9o3-6oi-9oi-pr44226028
Cần hộ chung cư,Đừng Thuê Nhà Nữa - Mua Nhà Ở Xã Hội IEC Residences Quy Nhơn Trả Góp Siêu Nhẹ Gốc Lãi 4tr/Tháng,681 triệu,47 m²,,Bắc,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Bắc mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-long-van-long-my-phuong-tran-quang-dieu-iec-residences-quy-nhon/ung-thue-nha-nua-mua-nha-o-xa-hoi-tra-gop-sieu-nhe-goc-lai-4tr-thang-pr45743368
Bán đất,"Bán đất biển ngay khu đô thị Cát Tiến, Phù Cát, Quy Nhơn giá 22 triệu/m² khởi điểm ra biển 300m","2,75 tỷ",125 m²,"300m                         2,75",,,,,,H. Phù Cát,H. Phù Cát (X. Cát Tiến mới),https://batdongsan.com.vn/ban-dat-xa-cat-tien/ban-at-bien-ngay-khu-o-thi-phu-quy-nhon-gia-22-trieu-m-khoi-iem-ra-bien-300m-pr45778365
Bán đất,Sang phiếu lô đất ở khu dân cư Đề Gi giá rẻ nhất chỉ 1 tỷ 280,"1,28 tỷ",200 m²,,,,,,,H. Phù Cát,H. Phù Cát (X. Đề Gi mới),https://batdongsan.com.vn/ban-dat-duong-tinh-lo-639-xa-cat-khanh-1-149/sang-phieu-at-o-khu-dan-cu-e-gi-gia-re-nhat-chi-1-ty-280-pr45799452
Đất nền dự án,Bán đất mặt tiền khu B3 An Phú Thịnh Hoàng Minh Giám,"5,88 tỷ",140 m²,,Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-hoang-minh-giam-phuong-nhon-binh-khu-do-thi-an-phu-thinh/ban-at-mat-tien-b3-giam-pr45661545
Cần hộ chung cư,"Lời ngay 400 triệu, căn 3PN Phú Tài Residence 86m2 giá 2.65 tỷ","2,65 tỷ",86 m²,86m2,,,3 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-duc-tho-phuong-hai-cang-phu-tai-residence/loi-ngay-600-trieu-3pn-86m2-gia-2-6-ty-tang-noi-that-250-trieu-pr40731897
Shophouse,"Bán nhà mặt phố Long Vân, hàng hiếm tại Quy Nhơn phù hợp mở văn phòng cty, kinh doanh, giá rẻ","5,2 tỷ","92,5 m²",,Bắc,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Bắc mới),https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-long-van-long-my-phuong-tran-quang-dieu-solera-quy-nhon/ban-mat-hang-hiem-tai-phu-hop-mo-phong-cty-kinh-doanh-gia-re-pr42969733
Đất nền dự án,"Đất nền sổ đỏ - gần biển, khu du lịch - tiện ích vượt trội - giỏ hàng sang nhượng Nhơn Hội Newcity",Giá thỏa thuận,80 m²,,Đông,,,,Sổ đỏ,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-so-19b-1-xa-nhon-ly-khu-do-thi-moi-nhon-hoi-new-city/gan-bien-lich-tien-ich-vuot-troi-gio-hang-sang-nhuong-newcity-pr43621009
Cần hộ chung cư,Cắt lỗ căn hộ cao cấp Grand Center Quy Nhơn loại phòng 1PN 2PN 3PN. Liên hệ PKD 0906 147 ***,"1,4 tỷ","49,7 m²",,,,1 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-tat-thanh-phuong-ly-thuong-kiet-1-grand-center-quy-nhon/ket-bank-ban-lo-nang-nhieu-grandcenter-gia-1-38-ty-lien-he-pr39073090
Bán đất,Bán lô đất đẹp - vi trí an sinh - nghỉ dưỡng - thuận lơi xây biệt thự nghỉ dưỡng,"2,1 tỷ",354 m²,,Tây,,,,,H. Tuy Phước,H. Tuy Phước (X. Tuy Phước Tây mới),https://batdongsan.com.vn/ban-dat-xa-phuoc-an/ban-lo-at-ep-vi-tri-sinh-nghi-duong-thuan-loi-xay-biet-thu-nghi-duong-pr45530878
Cần hộ chung cư,"Bán căn hộ 2PN, 58m2, 772 triệu tại Tây Sơn, Nhơn Phú, Quy Nhơn, Bình Định",772 triệu,58 m²,"58m2,",Tây,,2 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Bắc mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tay-son-phuong-nhon-phu-1-155/ban-2pn-58m2-652-trieu-tai-quy-binh-dinh-pr42966767
Đất nền dự án,Bán đất nền tái định cư VSIP Bình Định giá tốt cho nhà đầu tư,"1,2 tỷ",200 m²,,,,,,,H. Vân Canh,H. Vân Canh (X. Canh Vinh mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-19c-xa-canh-vinh-becamex-vsip-binh-dinh/ban-tai-cu-gia-tot-cho-nha-dau-tu-pr44972573
Đất nền dự án,Đất nền khu đô thị Cẩm Văn - Bình Định hội tụ 3 yếu tố nhất cận thị nhị cận giang tam cận lộ,"2,85 tỷ",125 m²,,Đông,,,,,TX. An Nhơn,TX. An Nhơn (P. An Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-1a-phuong-nhon-hung-1-khu-do-thi-moi-cam-van/at-o-binh-inh-hoi-tu-3-yeu-to-nhat-can-nhi-can-giang-tam-can-lo-pr45621598
Đất nền dự án,"Chính chủ gửi bán đất Khu đô thị Cẩm Văn, P Nhơn Hưng, Tx An Nhơn, Bình Định","2,55 tỷ",125 m²,,Đông,,,,,TX. An Nhơn,TX. An Nhơn (P. An Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-1a-phuong-nhon-hung-1-khu-do-thi-moi-cam-van/chinh-chu-gui-ban-at-o-p-tx-binh-inh-pr45621959
Bán đất,"Bán đất nền dự án tại Khu Dân cư - Trung tín 2, 1,985 tỷ, 108m2, giá tốt, view đẹp","1,99 tỷ",108 m²,"108m2,",,,,,,H. Tuy Phước,H. Tuy Phước (X. Tuy Phước mới),https://batdongsan.com.vn/ban-dat-duong-dao-tan-thi-tran-tuy-phuoc-152/ban-at-nen-du-an-tai-khu-dan-cu-trung-tin-2-1-985-ty-108m2-gia-tot-view-ep-pr45530586
Nhà mặt phố,"Bán nhanh nhà 5 tầng view vòng xoay Hùng Vương, thuận tiện làm VP, trụ sở, KD, chỉ 40tr/m2","6,7 tỷ",100 m²,,Bắc,5 tầng,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Bắc mới),https://batdongsan.com.vn/ban-nha-mat-pho-duong-hung-vuong-2-phuong-tran-quang-dieu-155/ban-nhanh-5-tang-view-vong-xoay-thuan-tien-lam-vp-tru-so-kd-chi-40tr-m2-pr45598905
Cần hộ chung cư,BÁN NHANH CĂN GÓC THỊNH PHÁT 2PN VIEW BIỂN QUẢNG TRƯỜNG GIÁ CHỈ 2TỶ400 FULL NỘI THẤT,"2,4 tỷ",68 m²,,Nam,,2 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-thanh-nien-1-phuong-quang-trung-7-thinh-phat-tower/ban-nhanh-goc-2pn-view-bien-truong-gia-chi-2ty400-full-noi-that-pr45742744
Cần hộ chung cư,"Căn đẹp 2pn 2 view The Sailing giá 3,1 tỷ - nhận nhà tháng 9 - khai thác ngay","3,13 tỷ","60,2 m²",,,,2 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-duan-phuong-ly-thuong-kiet-1-the-sailing-quy-nhon/ep-2pn-2-view-gia-3-1-ty-nhan-nha-thang-9-khai-thac-ngay-pr45796551
Cần hộ chung cư,"Chỉ từ 1tỷ450 quỹ căn chuyển nhượng & căn mới CĐT full nội thất sẵn sổ công chứng ngay, cho vay 65%","1,8 tỷ",61 m²,,,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-hung-dao-phuong-hai-cang-altara-residences/quy-chuyen-nhuong-moi-c-t-chi-tu-1ty450-full-noi-that-san-so-cong-ngay-cho-vay-65-pr45625066
Cần hộ chung cư,"Altara Quy Nhơn - mở bán căn mới nhất trực tiếp từ CĐT, tầng cao view đẹp mà giá lại quá tốt","2,25 tỷ",61 m²,,,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-hung-dao-phuong-hai-cang-altara-residences/chu-nha-gui-ban-lo-sau-2pn-quy-nhon-huong-dong-nam-gia-chi-1-9xx-ty-pr40878834
Cần hộ chung cư,Cắt lỗ căn hộ Altara Residenes - 1PN giá 1tỷ6xx (sổ hồng lâu dài - hổ trợ vay),Giá thỏa thuận,45 m²,,,,1 PN,,Sổ hồng,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-hung-dao-phuong-hai-cang-altara-residences/cat-lo-residenes-1-phong-ngu-gia-1-ty-350-so-hong-lau-dai-so-san-pr44106436
Đất nền dự án,"CHÍNH CHỦ BÁN LÔ ĐẤT BIỆT THỰ, ĐÃ CÓ MÓNG, CÓ MẶT TIỀN QUẢNG TRƯỜNG TRUNG TÂM , GẦN BÃI BIỂN ĐẸP","3,73 tỷ","229,7 m²",,Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-19b-xa-nhon-ly-flc-quy-nhon/chinh-chu-ban-at-biet-thu-a-co-mong-co-mat-tien-quang-truong-trung-tam-gan-bai-bien-ep-pr45205248
Cần hộ chung cư,"Ecolife giảm giá bán nhanh - nhà mới 100% chưa sử dụng, đã có sổ","1,2 tỷ",60 m²,,Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-nhon-binh-ecolife-riverside/giam-hon-300-trieu-ban-1pn-2pn-3pn-gia-ngop-da-co-so-pr41531494
Nhà mặt phố,"Bán nhà mặt tiền chợ Nhơn Hội, TP Quy Nhơn, Bình Định. Nhà 100m2, mặt chợ mua bán số 1",Giá thỏa thuận,100 m²,"100m2, m",Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-28-xa-nhon-hoi-1-155/ban-can-tien-cho-tp-quy-binh-dinh-100m2-cho-mua-ban-1-pr42922813
Bán đất,"Bán đất LÔ GÓC D1 và N4 xã CÁT HƯNG, 273m2 làm nghĩ dưỡng nhà vườn đẹp",Giá thỏa thuận,273 m²,273m2,,,,,,H. Phù Cát,H. Phù Cát (X. Ngô Mây mới),https://batdongsan.com.vn/ban-dat-duong-quoc-lo-19b-xa-cat-hung-149/ban-at-goc-d1-va-n4-273m2-lam-nghi-nha-vuon-ep-pr45691723
Cần hộ chung cư,"Duy nhất căn góc rẻ nhất thị trường Altara giá 2,65 tỷ (giá lỗ 200tr) giá chốt không thương lượng","2,65 tỷ",71 m²,,,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-hung-dao-phuong-hai-cang-altara-residences/quy-nhon-view-bien-goc-70m2-gia-thap-nhat-chi-2-1-ty-pr38002385
Nhà mặt phố,"(Hiếm có) Bán nhà mặt tiền Bùi Đức Sơn, hướng Đông Nam, Hà Thanh 1 Phường Quy Nhơn 62m2 giá 3 tỷ x","3,6 tỷ",62 m²,62m2,Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-nha-mat-pho-duong-bui-duc-son-phuong-dong-da-155/ban-3-me-siu-ep-tien-ha-thanh-ong-a-quy-nhon-54-3m-gan-cau-huynh-tan-phat-pr45167193
Bán đất,BÁN LÔ LIỀN KỀ ĐƯỜNG N5 SÁT CHỢ  KDC HIỆP VINH 1B,"1,8 tỷ",150 m²,5x40,Nam,,,,,H. Vân Canh,H. Vân Canh (X. Canh Vinh mới),https://batdongsan.com.vn/ban-dat-xa-canh-vinh/ban-lo-lien-ke-uong-n5-sat-cho-kdc-hiep-1b-pr45775156
Cần hộ chung cư,"Còn 4 suất siêu rẻ 2-3PN chỉ 2,4-3,1 tỷ Simona Heights đầu tư sinh lời tốt nhất 2026 LH 0332 428 ***","2,4 tỷ",65 m²,,,,3 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-le-loi-5-simona-heights/ban-nhanh-1pn-sieu-hiem-re-nhat-du-an-tang-full-noi-that-cao-cap-5-sao-pr45319193
Cần hộ chung cư,Độc quyền quỹ căn đầu tư Simona Heights Quy Nhơn - Tiềm năng tăng giá 30% sau bàn giao.,3 tỷ,"68,98 m²",,,,2 PN,2 WC,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-hung-dao-phuong-le-loi-5-simona-heights/oc-quyen-quy-au-tu-quy-nhon-tiem-nang-tang-gia-30-sau-ban-giao-pr45584826
Đất nền dự án,Cần bán gấp nền đất nhà phố xây sẵn khu đô thị An Phú Thịnh. Liên hệ: 0906 147 ***,"3,09 tỷ",103 m²,,Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-huynh-tan-phat-phuong-nhon-binh-khu-do-thi-an-phu-thinh/khach-ket-ngan-hang-can-ban-gap-lien-he-pr39075455
Đất nền dự án,"Chủ cần tiền gấp, bán nhanh đất biển Nhơn Hội. Đã có sổ. Giá chỉ 1ty3x. Cách biển vài bước chân","1,38 tỷ",80 m²,,Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-so-19b-1-xa-nhon-ly-khu-do-thi-moi-nhon-hoi-new-city/chu-can-tie-gap-ban-nhanh-at-bien-cach-bien-vai-buoc-chan-a-co-gia-chi-1ty3x-pr45696877
Cần hộ chung cư,Bán căn hộ Ecolife Quy Nhơn giá siêu rẻ - Giảm gần 200 triệu - Ngân hàng hỗ trợ vay 70%,"1,33 tỷ",64 m²,,Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-nhon-binh-ecolife-riverside/ban-quy-gia-sieu-re-pr41209783
Đất nền dự án,"Bán lô liền kề PK4 gần biển, gần toà chung cư Takashi, ngay trục chính xuống biển LH 0935 739 ***","1,55 tỷ",80 m²,,Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-so-19b-1-xa-nhon-ly-khu-do-thi-moi-nhon-hoi-new-city/ban-lo-goc-phan-2-doi-dien-cong-vien-gan-bien-lh-mr-quang-dung-pr44383810
Cần hộ chung cư,Bán nhanh suất nội bộ giá ưu đãi dự án Simona Height Quy Nhơn. Liên hệ ngay 0903 601 ***,"1,8 tỷ",45 m²,,,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-hung-dao-phuong-le-loi-5-simona-heights/ban-nhanh-10-suat-noi-bo-gia-uu-dai-du-an-height-quy-nhon-lien-he-ngay-pr41995196
Nhà mặt phố,"Khách sạn 3 sao cách biển 200m phường Ngô Mây. DT: 259m2 , hầm 8 tầng 40p. Giá 40 tỷ thương lượng",40 tỷ,259 m²,259m2,Nam,8 tầng,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-nha-mat-pho-duong-ngo-may-phuong-ngo-may-1-155/khach-san-3-sao-cach-bien-200m-dt-290m2-ham-8-tang-40p-gia-40-ty-thuong-luong-pr45640674
Bán đất,"Chính chủ cần bán nhiều lô đất biển Hòn Khô, Nhơn Hải, Quy Nhơn. Giá rẻ nhất 2 tỷ 050trđ lô 65m2","2,05 tỷ",65 m²,65m2,Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-xa-nhon-hai-1/chinh-chu-can-ban-2-lo-lien-ke-moi-dau-gia-gia-1-4-ty-lo-65m2-pr39409872
Cần hộ chung cư,"CHỈ 2,3 TỶ CĂN 1PN THE SAILING QUY NHƠN - SỔ HỒNG LÂU DÀI - LH 0975 726 ***","2,4 tỷ",47 m²,,,,1 PN,,Sổ hồng,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-duan-phuong-ly-thuong-kiet-1-the-sailing-quy-nhon/chi-2-3-ty-1pn-so-hong-lau-dai-lh-pr45796344
Cần hộ chung cư,The Sailing - sở hữu sổ hồng lâu dài - bàn giao 2026 - căn hộ có vị trí đẹp nhất Quy Nhơn,"2,6 tỷ",60 m²,,,,,,Sổ hồng,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-duan-phuong-ly-thuong-kiet-1-the-sailing-quy-nhon/so-huu-so-hong-lau-dai-ban-giao-2026-co-vi-tri-ep-nhat-nhon-pr45310681
Bán đất,"Bán đất khu TĐC ven biển Nhơn Hải, Quy Nhơn. Diện tích 60m2. Giá bán chỉ 1 tỉ 650 triệu. 0906 496 ***","1,65 tỷ",·60 m²,60m2.,Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-xa-nhon-hai-1/ban-view-bien-quy-dien-tich-65m2-gia-ban-chi-1-ti-270-trieu-sdt-pr40012908
Cần hộ chung cư,Đừng Thuê Nhà - Cơ Hội Mua Nhà Ở Xã Hội Giá Rẻ Tại Gia Lai. Hỗ Trợ Vay NHCS,771 triệu,57 m²,,Bắc,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Bắc mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tran-quang-dieu-iec-residences-quy-nhon/ung-thue-nha-co-hoi-mua-nha-o-xa-hoi-gia-re-tai-gia-lai-tro-vay-nhcs-pr45807706
Nhà biệt thự/liền kề,"Bán Lô Biệt Thự khu Đô Thị B3 An Phú Thịnh Quy Nhơn, Mặt Tiền Đường Đỗ Nhuận gần Yong San, DT 229m2","11,5 tỷ",229 m²,229m2,,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-dong-da/ban-lo-khu-o-thi-b3-an-phu-thinh-quy-nhon-mat-tien-uong-o-nhuan-gan-yong-san-dt-229m2-pr45692764
Nhà biệt thự/liền kề,Sở hữu 1 căn vip nhất The Ocean Villas Quy Nhơn căn 4PN hàng limited. Liên hệ 0903 601 ***,"29,5 tỷ",564 m²,,,,4 PN,,,H. Phù Cát,H. Phù Cát (X. Cát Tiến mới),https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-19b-xa-cat-tien-the-ocean-villas-quy-nhon/so-huu-1-trong-19-can-vip-nhat-can-4pn-hang-limited-he-pr40470637
Nhà biệt thự/liền kề,[Siêu phẩm nhà phố] Phú Gia Royal Park - 283 viên ngọc giữa lòng thành phố Quy Nhơn,"5,5 tỷ",70 m²,,Nam,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tay-son-phuong-quang-trung-7-phu-gia-royal-park/sieu-pham-pho-283-vien-ngoc-giua-long-thanh-pho-quy-nhon-pr44294654
Cần hộ chung cư,Căn Hộ VIEW SÔNG - chung cư 2PN Ecolife - Quy Nhơn. Có sổ sẵn,"1,24 tỷ",60 m²,,Đông,,2 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-nhon-binh-ecolife-riverside/ban-cat-lo-2pn-quy-co-so-san-pr36684158
Nhà mặt phố,"(HÍM)Bán Nhà Mặt Tiền cách Biển Quy Nhơn 700m, 50m2 Giá Êm chỉ 3ty xxz, gần Khu Du Lịch Ghềnh Ráng","3,6 tỷ",50 m²,50m2,Nam,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-nha-mat-pho-phuong-ghenh-rang/him-ban-tien-cach-bien-quy-nhon-700m-gia-em-chi-nhinh-3ty-xxz-gan-khu-du-lich-rang-pr44440445
Bán đất,"4







                        Đất Đảo Cù Lao Xanh - Nhơn Châu. 15x15,6m sổ hồng 100% thổ cư
                    



3,8 tỷ
·
232 m²
·
16,38 tr/m²




TP. Quy Nhơn (X. Nhơn Châu mới)








            Đăng 2 tuần trước","3,8 tỷ",232 m²,"15x15,6m",,,,,Sổ hồng,TP. Quy Nhơn,TP. Quy Nhơn (X. Nhơn Châu mới),https://batdongsan.com.vn/ban-dat-xa-nhon-chau/at-ao-cu-lao-xanh-15x15-6m-so-hong-100-tho-cu-pr45534191
Cần hộ chung cư,"Bán căn hộ 3PN giá rẻ nhất Phú Tài Residence view biển - hồ sinh thái giá chỉ 2,650 tỷ","2,65 tỷ",96 m²,,,,3 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-duc-tho-phuong-hai-cang-phu-tai-residence/ban-3pn-gia-re-nhat-view-bien-sinh-thai-gia-chi-2-650-ty-pr45744621
Nhà riêng,"BÁN NHÀ 3 TẦNG VỊ TRÍ ĐẸP, TIỆN ÍCH ĐẦY ĐỦ - ĐƯỜNG LÝ THÁI TỔ - PHƯỜNG NGUYỄN VĂN CỪ (QUY NHƠN NAM)","3,2 tỷ",40 m²,,NAM,3 TẦNG,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-nha-rieng-duong-ly-thai-to-phuong-nguyen-van-cu-155/ban-3-tang-vi-tri-ep-tien-ich-ay-u-uong-to-pr45729509
Bán đất,"Bán Đất đường DS28 mặt tiền chợ nhơn hội, quy nhơn đông gia lai",Giá thỏa thuận,100 m²,,đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-duong-8-2-xa-nhon-hoi-1-155/ban-tp-quy-gan-trung-tam-hanh-chinh-moi-pr42996430
